"employees","salary_2017","salary_adjustments","salary_2018","got_raise"
"Employee 50",49850.3105342388,-4801.90420011058,45048.4063341282,FALSE
"Employee 51",44299.4480859488,-25.3627537749708,44274.0853321739,FALSE
"Employee 52",49928.4318019636,-1548.35104523227,48380.0807567313,FALSE
"Employee 53",43776.0066241026,-974.996414966881,42801.0102091357,FALSE
"Employee 54",46005.822555162,-3895.31145663932,42110.5110985227,FALSE
"Employee 55",47484.2190742493,-3210.00355388969,44274.2155203596,FALSE
"Employee 56",40492.9119348526,-3129.5842975378,37363.3276373148,FALSE
"Employee 57",42724.9967539683,-3984.21045811847,38740.7862958498,FALSE
"Employee 58",41862.9506952129,-1275.17672395334,40587.7739712596,FALSE
"Employee 59",43956.7566337064,-1587.38913480192,42369.3674989045,FALSE
"Employee 60",45094.0579338931,-4612.08455590531,40481.9733779877,FALSE
"Employee 61",44092.902992852,-206.651450600475,43886.2515422516,FALSE
"Employee 62",40640.7941342331,-1120.34070584923,39520.4534283839,FALSE
"Employee 63",48910.2758443914,-3413.64031843841,45496.635525953,FALSE
"Employee 64",42644.2565373145,530.193152371794,43174.4496896863,TRUE
"Employee 65",47923.5561843961,-4340.07249306887,43583.4836913273,FALSE
"Employee 66",48385.9903179109,-1562.45033117011,46823.5399867408,FALSE
"Employee 67",44586.833298672,-1163.03448146209,43423.7988172099,FALSE
"Employee 68",42552.168504335,-2973.67880865932,39578.4896956757,FALSE
"Employee 69",46306.5954600461,-776.945319958031,45529.6501400881,FALSE
"Employee 70",45968.5462899506,-789.579559583217,45178.9667303674,FALSE
"Employee 71",45192.6505821757,-3038.20297447965,42154.4476076961,FALSE
"Employee 72",41582.0507705212,-179.215528536588,41402.8352419846,FALSE
"Employee 73",48074.4456243701,-788.829428143799,47285.6161962263,FALSE
"Employee 74",45500.413691625,-624.859423842281,44875.5542677827,FALSE
"Employee 75",44294.6189106442,834.712873212993,45129.3317838572,TRUE
"Employee 76",47597.3252533004,-1649.31341586635,45948.011837434,FALSE
"Employee 77",46129.0223756805,-2604.83180033043,43524.1905753501,FALSE
"Employee 78",42255.900958553,-1993.82704682648,40262.0739117265,FALSE
"Employee 79",45025.3114197403,-1906.53434209526,43118.7770776451,FALSE
"Employee 80",49340.3250281699,-3148.98518892005,46191.3398392498,FALSE
"Employee 81",41468.4924553148,-4141.81690756232,37326.6755477525,FALSE
"Employee 82",45360.4267677292,-1454.75471206009,43905.6720556691,FALSE
"Employee 83",42805.3990774788,-4542.26426081732,38263.1348166615,FALSE
"Employee 84",43432.9856489785,-1698.09454726055,41734.8911017179,FALSE
"Employee 85",42668.4888685122,-1380.09111722931,41288.3977512829,FALSE
"Employee 86",44117.6355886273,-3715.63403680921,40402.0015518181,FALSE
"Employee 87",43162.4306063168,-4003.15649714321,39159.2741091736,FALSE
"Employee 88",46034.4804497436,154.207173734903,46188.6876234785,TRUE
"Employee 89",43535.4851256125,-3598.436253611,39937.0488720015,FALSE
"Employee 90",41657.6129058376,-752.392238937318,40905.2206669003,FALSE
"Employee 91",43024.6442463249,-502.770856022835,42521.8733903021,FALSE
"Employee 92",42810.1959172636,841.493029613048,43651.6889468767,TRUE
"Employee 93",40297.4483231083,-2548.29744342715,37749.1508796811,FALSE
"Employee 94",44644.0949407406,-4284.94224045426,40359.1527002864,FALSE
"Employee 95",49208.6699209176,-1429.23300154507,47779.4369193725,FALSE
"Employee 96",44053.5909845494,-321.106369141489,43732.4846154079,FALSE
"Employee 97",40573.0909411795,-4401.22492937371,36171.8660118058,FALSE
"Employee 98",46136.4661506377,-2389.60661878809,43746.8595318496,FALSE
"Employee 99",41738.1273792125,-2901.56140550971,38836.5659737028,FALSE
"Employee 100",41583.4068693221,-2617.44034523144,38965.9665240906,FALSE
